"","Region","Country","A_Country","A_Region","B_Country"
"150","LATIN AMERICA","Suriname","Other.Latin.America","Latin.America","Suriname"
"151","SUB-SAHARAN AFRICA","Swaziland","Other.Africa","Africa","Swaziland*"
"152","WESTERN EUROPE","Sweden","Other.Western.Europe","Western.Europe","Sweden"
"153","WESTERN EUROPE","Switzerland","Other.Western.Europe","Western.Europe","Switzerland"
"154","ASIA","Taiwan","Taiwan","Far.East","Taiwan"
"155","CIS","Tajikistan","Other.Eastern.Europe","Eastern.Europe","Tajikistan"
"156","ASIA","Thailand","Thailand","Far.East","Thailand"
"157","SUB-SAHARAN AFRICA","Togo","Other.Africa","Africa","Togo"
"158","MIDDLE EAST & NORTH AFRICA","Tunisia","Middle.East","Middle.East","Tunisia"
"159","CEB","Turkey","Other.Eastern.Europe","Eastern.Europe","Turkey"
"160","CIS","Turkmenistan","Other.Eastern.Europe","Eastern.Europe","Turkmenistan"
"161","SUB-SAHARAN AFRICA","Uganda","Other.Africa","Africa","Uganda*"
"162","CIS","Ukraine","Other.Eastern.Europe","Eastern.Europe","Ukraine"
"163","WESTERN EUROPE","United Kingdom","United.Kingdom","Western.Europe","United Kingdom"
"164","NORTH AMERICA","United States","United.States","North.America","United States"
"165","LATIN AMERICA","United States Virgin Islands","Other.Latin.America","Latin.America","Virgin Islands (U.S.)"
"166","LATIN AMERICA","Uruguay","Other.Latin.America","Latin.America","Uruguay"
"167","CIS","Uzbekistan","Other.Eastern.Europe","Eastern.Europe","Uzbekistan"
"168","LATIN AMERICA","Venezuela","Other.Latin.America","Latin.America","Venezuela"
"169","ASIA","Viet Nam","Other.Far.East","Far.East","Vietnam"
"170","MIDDLE EAST & NORTH AFRICA","Yemen","Middle.East","Middle.East","Yemen"
"171","SUB-SAHARAN AFRICA","Zambia","Other.Africa","Africa","Zambia"
"172","SUB-SAHARAN AFRICA","Zimbabwe","Other.Africa","Africa","Zimbabwe"
